genus,species,id,latitude,longitude,locality,qual,,,,,
argosarchus,sp,argo-sp_68,-42.763,171.4333833,Taipo River Valley,g,,,,,
argosarchus,sp,argo-sp_69,-43.63211667,172.62575,Kennedys Bush,g,,,,,
argosarchus,sp,argo-sp_70,-43.76636667,172.7146,Prices Bush,g,,,,,
argosarchus,sp,argo-sp_71,-43.8897,171.26045,Peel Forest,g,,,,,
argosarchus,sp,argo-sp_72,-44.0012,171.1505333,Waihi Gorge,g,,,,,
argosarchus,sp,argo-sp_73,-44.1844,169.2662167,Brady Creek,g,,,,,
argosarchus,sp,argo-sp_74,-44.34408333,170.8413167,Pareora Reserve,g,,,,,
argosarchus,sp,argo-sp_75,-44.44105,169.2712,Kidds Bush,g,,,,,
argosarchus,sp,argo-sp_76,-44.66473333,170.9727333,Gunns Bush,g,,,,,
argosarchus,sp,argo-sp_77,-44.6796,167.96325,Cleddau Valley,g,,,,,
argosarchus,sp,argo-sp_78,-44.92313333,168.0406167,Eglinton,g,,,,,
argosarchus,sp,argo-sp_79,-45.43998333,167.68555,Te Anau Control Gates,g,,,,,
argosarchus,sp,argo-sp_80,-45.06666667,168.5454167,Twelve Mile Delta,g,,,,,
argosarchus,sp,argo-sp_81,-45.80799,167.52545,Lk Monowai Rd,g,,,,,
argosarchus,sp,argo-sp_82,-45.88163333,170.5508667,The Cove,g,,,,,
argosarchus,sp,argo-sp_83,-45.92663333,170.0296833,Waipori Falls,g,,,,,
argosarchus,sp,argo-sp_84,-45.99021667,167.3832167,Lake Hauroko,g,,,,,
argosarchus,sp,argo-sp_85,-46.0065,168.4326,The Cone Forest,g,,,,,
argosarchus,sp,argo-sp_86,-46.35366667,168.0074333,Riverton Bridge,g,,,,,
argosarchus,sp,argo-sp_87,-37.14344645,175.6596612,Corromandel,g,,,,,
argosarchus,sp,argo-sp_88,-37.42871268,175.7283339,Karangahake Gorge,g,,,,,
