genus,species,id,locality,nz_id,latitude,longitude,qual,day,month,year,collector,notes,elevation,code,misc
acanthoxyla,sp,acan-sp_77,"South Karori Rd, Bargh farm",NZAC03004797,-41.302183,174.72145,g,14,Mar,2005,T R Buckley R G Buckley E J Buckley,ex bush lawyer,,AXX28,
acanthoxyla,sp,acan-sp_78,"Rimutaka Forest Pk, Kaitoke, Smiths Creek Trk",NZAC03000654,-41.0701,175.233617,g,19,Mar,2005,T R Buckley E J Buckley R G Buckley,ex kamahi,,AXX39,
acanthoxyla,sp,acan-sp_79,"Totara Pk, Upper Hutt Rover Rd",NZAC03005522,-41.104167,175.082433,g,7,May,2007,R Moore,ex manuka,,AXX71,
acanthoxyla,sp,acan-sp_80,"Orongorongo River Valley, Rimutaka State Forest Pk",NZAC03000730,-41.3394,174.978883,g,20,Mar,2006,T R Buckley E J Buckley R G Buckley,ex gorse,,AXX1,
acanthoxyla,sp,acan-sp_81,"Catchpool Valley, Rimutaka Forest Pk",NZAC03005310,-41.348133,174.928167,g,22,Jan,2008,T R Buckley R Leschen K Marske,ex manuka,,AXX118,
acanthoxyla,sp,acan-sp_82,"Queen Charlotte Track, Kenepuru Saddle, manuka forest",NZAC03005165,-41.127917,174.1413,g,11,Dec,2007,K Marske J Allwood,beating manuka,177m,KM108,
acanthoxyla,sp,acan-sp_83,"Top Cottage (Vallence residence), near Anakiwa",NZAC03006323,-41.2719,173.905867,g,19,Feb,2009,K Marske R Leschen,beaten ex manuka at night,81m,KM 326,regenerating/planted bush with pine and gorse
acanthoxyla,sp,acan-sp_84,"Whanganui Inlet, Kaituna Track",NZAC03005151,-40.619883,172.54765,g,17,Dec,2007,K Marske J Allwood,beating manuka,111m,KM158,
acanthoxyla,sp,acan-sp_85,Anatori River Valley,NZAC03006393,-40.7097,172.364483,g,5,Mar,2010,T R Buckley R Leschen L Dunning,ex Metrosideros perforata/Muehlenbeckia australis,,AXX91,
acanthoxyla,sp,acan-sp_86,Washbourn Scenic Reserve,NZAC03005163,-40.769033,172.706917,g,19,Dec,2007,K Marske J Allwood,beating vines,22m,KM168,
acanthoxyla,sp,acan-sp_87,"Brightwater, Nelson",NZAC04030842,-41.364817,173.081717,g,,,,,,,,
acanthoxyla,sp,acan-sp_88,"Nelson, Roding",NZAC04030846,-41.393167,173.183733,g,,Oct,1950,R Austin,,,,
acanthoxyla,sp,acan-sp_89,"Rai, Nelson",NZAC04030732,-41.220483,173.569183,g,5,Feb,1969,C Jensen,,,,
acanthoxyla,sp,acan-sp_90,"Nelson City, Atawhai",NZAC03000718,-41.240167,173.321167,g,17,Apr,2005,J S Dugdale,ex Cotoneaster sp,,AXX36,
acanthoxyla,sp,acan-sp_91,Pelorus Bridge,NZAC04030777,-41.300783,173.571917,g,7,Aug,1957,J I Townsend,,,,
acanthoxyla,sp,acan-sp_92,"Awatere Valley, Blairich Station, Black Birch Stream",NZAC03005179,-42.70265,173.872717,g,6,Dec,2007,K Marske D Attanayake J Allwood,beating manuka,225m,KM082,
acanthoxyla,sp,acan-sp_93,"Halfmoon Bay Track head, along SH1",NZAC03005270,-42.259583,173.810533,g,6,Dec,2007,K Marske D Attanayake J Allwood,beating at night,,KM085,
acanthoxyla,sp,acan-sp_94,"Hwy 6 near Westport, turnoff for Buckland Peaks Track (KM025)",NZAC03000617,-41.815683,171.6005,g,26,Feb,2007,K Marske R Gilbert,ex manuka,,,
acanthoxyla,sp,acan-sp_95,"Bullock Creek, Punakaiki",NZAC03000660,-42.102083,171.40155,g,20,Jan,2005,T R Buckley R A B Leschen P Lambert,,,,
acanthoxyla,sp,acan-sp_96,"Blackball, Blackball Rd",NZAC03000668,-42.346233,171.386917,g,20,Jan,2005,T R Buckley R A B Leschen P Lambert,ex kamahi,,,
acanthoxyla,sp,acan-sp_97,"Runanga, Coal Creek Walkway",NZAC03004790,-42.40865,171.257733,g,19,Jan,2005,T R Buckley R A B Leschen ,ex kamahi,,,
acanthoxyla,sp,acan-sp_98,"Okarito, Okarito Trig Walk",NZAC03000720,-43.2254,170.155517,g,18,Jan,2005,T R Buckley R A B Leschen,ex rimu,,AXX107,
acanthoxyla,sp,acan-sp_99,"Three Mile Lagoon Trk, Okarito",NZAC03006387,-43.23975,170.127167,g,1,Apr,2009,T R Buckley R A B Leschen,beating kamahi,,,
acanthoxyla,sp,acan-sp_100,Canavans Knob,NZAC03004830,-43.381,170.162483,g,19,Jan,2005,T R Buckley R A B Leschen,,,AXX30,
acanthoxyla,sp,acan-sp_101,"Hapuka Estuary, Okuru",NZAC03000721,-43.911583,168.897783,g,16,Jan,2005,T R Buckley R A B Leschen,ex bush lawyer,,,
acanthoxyla,sp,acan-sp_102,"Roadside, 1-2 km east of track to Roaring Billy Falls, SH6",NZAC03000618,-43.941517,169.2968,g,13,Jan,2006,T R Buckley RAB Leschen R Hoare,white rata on rimu tree,,,
acanthoxyla,sp,acan-sp_103,"Jacksons Bay, Wharekai-Tekou walk",NZAC03000651,-43.970583,168.6113,g,16,Jan,2005,T R Buckley R A B Leschen,ex bush lawyer,,,
acanthoxyla,sp,acan-sp_104,"Red Hills, Jackson River Rd",NZAC03000680,-44.117433,168.540017,g,16,Jan,2005,T R Buckley R A B Leschen ,ex manuka,,,
acanthoxyla,sp,acan-sp_105,"Dunedin, Dunedin water works",NZAC03000657,-45.858333,170.538333,g,28,Mar,2004,T R Buckley J Jewell R Morris,ex kanuka,,AXX100,
acanthoxyla,sp,acan-sp_106,"Waipori Falls Rd, second picnic area",NZAC03000641,-45.926167,170.029833,g,30,Jan,2007,T R Buckley RAB Leschen K Marske J Nunn,ex kanuka,,AXX133,
acanthoxyla,sp,acan-sp_107,"Milford, Gulliver River Valley, Graves-Talbot Trk",NZAC03000675,-44.705117,167.96965,g,17,Jan,2006,T R Buckley RAB Leschen,kamahi,,,
acanthoxyla,sp,acan-sp_108,"Te Anau Downs, roadside, 44 km S of Knobs Flat, SH94",NZAC03000681,-45.193167,167.833767,g,25,Mar,2004,T R Buckley T Jewell RAB Leschen,kanuka,,AXG2,
acanthoxyla,sp,acan-sp_109,"Te Anau Downs, Henry Creek",NZAC03004863,-45.23565,167.81295,g,,Mar,2004,T Jewell,,,AXG34,
acanthoxyla,sp,acan-sp_110,"Te Anau, Te Anau Control Gates",NZAC03000614,-45.441017,167.686483,g,,Mar,2004,T Jewell,,,,
acanthoxyla,sp,acan-sp_111,Lake Hauroko jetty,NZAC03000664,-45.990217,167.383217,g,18,Jan,2006,T R Buckley RAB Leschen R Hoare,,,,
acanthoxyla,sp,acan-sp_112,"Lake George, west of Riverton",NZAC03000686,-46.347583,167.854817,g,27,Mar,2004,T R Buckley T Jewell,ex manuka,,AXG3,
acanthoxyla,sp,acan-sp_113,"Riverton, Riverton Railway Bridge",NZAC03000726,-46.353667,168.007433,g,25,Mar,2005,T Buckley T Jewell,ex blackberry,,AXX106,
acanthoxyla,sp,acan-sp_114,"Sandy Point, Daffodil Bay",NZAC03000672,-46.473333,168.293333,g,27,Mar,2004,T R Buckley T Jewell R A B Leschen,ex totara,,,
acanthoxyla,sp,acan-sp_115,"The Catlins, Papatowai, Old Coach Rd",NZAC03000704,-46.552817,169.47445,g,28,Jan,2007,T R Buckley RAB Leschen K Marske,ex manuka,,AXX57,
acanthoxyla,sp,acan-sp_116,"Bluff, Glory Trk",NZAC03000698,-46.6135,168.3535,g,25,Jan,2007,T R Buckley RAB Leschen K Marske,ex manuka,,AXX53,
acanthoxyla,sp,acan-sp_117,"Stewart I, Oban, Excelsior Rd",NZAC03005512,-46.9011,168.125983,g,23,Jan,2007,T R Buckley RAB Leschen K Marske,ex manuka,,AXX59,
acanthoxyla,sp,acan-sp_118,Ulva Island,NZAC03000650,-46.926017,168.131317,g,22,Jan,2007,T R Buckley RAB Leschen K Marske,,,,
acanthoxyla,sp,acan-sp_119,"Port Pegasus, Head of Sylvan Cove",NZAC03000634,-47.229667,167.553833,g,,Jan,2005,T Jewell,,,,
acanthoxyla,sp,acan-sp_120,Whale Bay,NZAC03009421,-35.5625,174.49945,g,16,Dec,2009,T R Buckley R Leschen D Seldon,at large,,TB 257,
acanthoxyla,sp,acan-sp_121,"Waenga Bush, Lottin Pt Rd",NZAC03009378,-37.56285,178.15225,g,3,Dec,2009,"T R Buckley, D Seldon, R Hoare, G Hall",ex Metrosideros sp.,,TB 239,
acanthoxyla,sp,acan-sp_122,"Waiaroho, East Cape",NZAC03009487,-37.606367,178.153883,g,1,Dec,2009,"T R Buckley, D Seldon, R Hoare, G Hall",beating ,,AXX105,
acanthoxyla,sp,acan-sp_123,"Martins Bay, along track to seal colony",NZAC03009510,-44.3371,168.007283,g,29,Dec,2009,Ian Stringer,on rata,,,
acanthoxyla,sp,acan-sp_124,"Dusky Sound, Resolution Is",NZAC03009422,-45.691433,166.715783,g,21,Jan,2011,,beating T-tree,87m,,E2013438 N5475447
acanthoxyla,sp,acan-sp_125,"Chalky Inlet, Passage Is",NZAC03009488,-46.027467,166.539067,g,20,Jan,2011,,beat ex Metrosideros,,,
acanthoxyla,sp,acan-sp_126,"Mohi Bush [Reserve], fork of Tk ",NZAC03009453,-39.85725,176.900867,g,11,Dec,2012,D S Seldon D C Brown,at night,457m,AXX90,
acanthoxyla,sp,acan-sp_127,Ship Creek,NZAC03009364,-43.760067,169.1491,g,11,Dec,2012,"M. Fikacek, J. Hajek, R. Leschen",beating at nigh,,RL 1683,
acanthoxyla,sp,acan-sp_128,"Puketitiri, Little Bush Res",NZAC03015381,-39.318233,176.535417,g,8,Jan,2013,D. Seldon,ex kanuka,555m,TB 772,
acanthoxyla,sp,acan-sp_129,Waimata Valley,,-38.46675,178.049633,g,,,,,,,DSS151,
acanthoxyla,sp,acan-sp_130,Mahia Peninsula,,-39.124283,177.875233,g,,,,,,,DSS148?,
acanthoxyla,sp,acan-sp_131,Sewell Peak,,-42.4297,171.295883,g,,,,,,,TB801,
acanthoxyla,sp,acan-sp_132,Travis Wetland,,-43.4857,172.68725,g,,,,,,,,
acanthoxyla,sp,acan-sp_133,Rameka,,-40.907517,172.85455,g,,,,,,,,
